,detector,text_id,score,mutation,mutation_name
0,GPTZero,def_p_14,0.9977558223168834,def,Baseline
1,GPTZero,def_p_17,0.9977558223168834,def,Baseline
2,GPTZero,def_p_11,0.982251886615535,def,Baseline
3,GPTZero,def_p_13,0.9977558223168834,def,Baseline
4,GPTZero,def_p_16,0.9977558223168834,def,Baseline
5,GPTZero,def_p_1,0.9973955738343496,def,Baseline
6,GPTZero,def_p_12,0.9973955738343496,def,Baseline
7,GPTZero,def_p_15,0.982932157729323,def,Baseline
8,GPTZero,def_p_10,0.9973955738343496,def,Baseline
9,GPTZero,def_p_0,0.9802844144278466,def,Baseline
10,GPTZero,def_p_18,0.8234289035940133,def,Baseline
11,GPTZero,def_p_2,0.9092670190856504,def,Baseline
12,GPTZero,def_p_3,0.9977558223168834,def,Baseline
13,GPTZero,def_p_19,0.9825825322814176,def,Baseline
14,GPTZero,def_p_6,0.9106245014028448,def,Baseline
15,GPTZero,def_p_5,0.9977558223168834,def,Baseline
16,GPTZero,def_p_9,0.982932157729323,def,Baseline
17,GPTZero,def_p_4,0.9973955738343496,def,Baseline
18,GPTZero,def_p_8,0.915630600561598,def,Baseline
19,GPTZero,par_p_0,0.8223915592028135,par,Basic paraphrase(Parrot library)
20,GPTZero,def_p_7,0.9977558223168834,def,Baseline
21,GPTZero,par_p_1,0.8288928167075286,par,Basic paraphrase(Parrot library)
22,GPTZero,par_p_11,0.8596152156724941,par,Basic paraphrase(Parrot library)
23,GPTZero,par_p_10,0.6942951482046156,par,Basic paraphrase(Parrot library)
24,GPTZero,par_p_13,0.8234289035940133,par,Basic paraphrase(Parrot library)
25,GPTZero,par_p_14,0.8235569534490451,par,Basic paraphrase(Parrot library)
26,GPTZero,par_p_15,0.8307331404026007,par,Basic paraphrase(Parrot library)
27,GPTZero,par_p_17,0.4708284996133023,par,Basic paraphrase(Parrot library)
28,GPTZero,par_p_12,0.8234289035940133,par,Basic paraphrase(Parrot library)
29,GPTZero,par_p_16,0.9109374343376851,par,Basic paraphrase(Parrot library)
30,GPTZero,par_p_19,0.7845924722447875,par,Basic paraphrase(Parrot library)
31,GPTZero,par_p_2,0.8288928167075286,par,Basic paraphrase(Parrot library)
32,GPTZero,par_p_18,0.4712838602865323,par,Basic paraphrase(Parrot library)
33,GPTZero,par_p_3,0.982932157729323,par,Basic paraphrase(Parrot library)
34,GPTZero,par_p_4,0.8235569534490451,par,Basic paraphrase(Parrot library)
35,GPTZero,par_p_6,0.7744087988021304,par,Basic paraphrase(Parrot library)
36,GPTZero,par_p_5,0.9802844144278466,par,Basic paraphrase(Parrot library)
37,GPTZero,par_p_7,0.8234289035940133,par,Basic paraphrase(Parrot library)
38,GPTZero,par_p_8,0.1011551849443445,par,Basic paraphrase(Parrot library)
39,GPTZero,quil_p_0,0.0748466625676709,quil,Quillbot paraphrase
40,GPTZero,quil_p_1,0.1692571276148266,quil,Quillbot paraphrase
41,GPTZero,par_p_9,0.7737826085224376,par,Basic paraphrase(Parrot library)
42,GPTZero,quil_p_10,0.4453935182454194,quil,Quillbot paraphrase
43,GPTZero,quil_p_11,0.9106245014028448,quil,Quillbot paraphrase
44,GPTZero,quil_p_13,0.7236238825849749,quil,Quillbot paraphrase
45,GPTZero,quil_p_15,0.4093567251461988,quil,Quillbot paraphrase
46,GPTZero,quil_p_14,0.4300352763312616,quil,Quillbot paraphrase
47,GPTZero,quil_p_12,0.7384433018457488,quil,Quillbot paraphrase
48,GPTZero,quil_p_16,0.4340580987325952,quil,Quillbot paraphrase
49,GPTZero,quil_p_17,0.2343041759089593,quil,Quillbot paraphrase
50,GPTZero,quil_p_2,0.3883295664680501,quil,Quillbot paraphrase
51,GPTZero,quil_p_19,0.493569674787101,quil,Quillbot paraphrase
52,GPTZero,quil_p_18,0.4448284527841269,quil,Quillbot paraphrase
53,GPTZero,quil_p_3,0.4448284527841269,quil,Quillbot paraphrase
54,GPTZero,quil_p_6,0.105678448043737,quil,Quillbot paraphrase
55,GPTZero,quil_p_7,0.4453935182454194,quil,Quillbot paraphrase
56,GPTZero,quil_p_8,0.1011551849443445,quil,Quillbot paraphrase
57,GPTZero,quil_p_9,0.1740631343437987,quil,Quillbot paraphrase
58,GPTZero,quil_p_5,0.3491271820448878,quil,Quillbot paraphrase
59,GPTZero,quil_p_4,0.4448765242225371,quil,Quillbot paraphrase
60,GPT2Detector,def_p_1,0.999727427959442,def,Baseline
61,GPT2Detector,def_p_15,0.9997830986976624,def,Baseline
62,GPT2Detector,def_p_12,0.9997009038925172,def,Baseline
63,GPT2Detector,def_p_0,0.999821126461029,def,Baseline
64,GPT2Detector,def_p_11,0.999778687953949,def,Baseline
65,GPT2Detector,def_p_13,0.9997588992118835,def,Baseline
66,GPT2Detector,def_p_16,0.99982750415802,def,Baseline
67,GPT2Detector,def_p_10,0.9997802376747132,def,Baseline
68,GPT2Detector,def_p_14,0.9997321963310242,def,Baseline
69,GPT2Detector,def_p_17,0.999782383441925,def,Baseline
70,GPT2Detector,def_p_19,0.9998181462287904,def,Baseline
71,GPT2Detector,def_p_18,0.9917271137237548,def,Baseline
72,GPT2Detector,def_p_2,0.9997761845588684,def,Baseline
73,GPT2Detector,def_p_3,0.999826729297638,def,Baseline
74,GPT2Detector,def_p_4,0.9998243451118468,def,Baseline
75,GPT2Detector,def_p_5,0.999795138835907,def,Baseline
76,GPT2Detector,def_p_7,0.99979966878891,def,Baseline
77,GPT2Detector,def_p_8,0.9997954964637756,def,Baseline
78,GPT2Detector,def_p_6,0.9998106360435486,def,Baseline
79,GPT2Detector,par_p_1,0.0002856850624084,par,Basic paraphrase(Parrot library)
80,GPT2Detector,par_p_0,0.000322937965393,par,Basic paraphrase(Parrot library)
81,GPT2Detector,def_p_9,0.9996009469032288,def,Baseline
82,GPT2Detector,par_p_10,0.0002647042274475,par,Basic paraphrase(Parrot library)
83,GPT2Detector,par_p_17,0.000278890132904,par,Basic paraphrase(Parrot library)
84,GPT2Detector,par_p_18,0.000274121761322,par,Basic paraphrase(Parrot library)
85,GPT2Detector,par_p_11,0.0003447532653808,par,Basic paraphrase(Parrot library)
86,GPT2Detector,par_p_12,0.0002446770668029,par,Basic paraphrase(Parrot library)
87,GPT2Detector,par_p_13,0.0003389120101928,par,Basic paraphrase(Parrot library)
88,GPT2Detector,par_p_14,0.0003039836883544,par,Basic paraphrase(Parrot library)
89,GPT2Detector,par_p_15,0.0002214312553405,par,Basic paraphrase(Parrot library)
90,GPT2Detector,par_p_16,0.0002580285072326,par,Basic paraphrase(Parrot library)
91,GPT2Detector,par_p_19,0.000295341014862,par,Basic paraphrase(Parrot library)
92,GPT2Detector,par_p_3,0.0003267526626586,par,Basic paraphrase(Parrot library)
93,GPT2Detector,par_p_2,0.0001881718635559,par,Basic paraphrase(Parrot library)
94,GPT2Detector,par_p_4,0.0019196271896362,par,Basic paraphrase(Parrot library)
95,GPT2Detector,par_p_5,0.0001733899116516,par,Basic paraphrase(Parrot library)
96,GPT2Detector,par_p_6,0.0001770853996276,par,Basic paraphrase(Parrot library)
97,GPT2Detector,par_p_9,0.0002028346061706,par,Basic paraphrase(Parrot library)
98,GPT2Detector,par_p_8,0.0001724958419799,par,Basic paraphrase(Parrot library)
99,GPT2Detector,par_p_7,0.0054137706756591,par,Basic paraphrase(Parrot library)
100,GPT2Detector,quil_p_10,0.9989230036735536,quil,Quillbot paraphrase
101,GPT2Detector,quil_p_12,0.0002227425575256,quil,Quillbot paraphrase
102,GPT2Detector,quil_p_0,0.0001835227012634,quil,Quillbot paraphrase
103,GPT2Detector,quil_p_1,0.0001869797706604,quil,Quillbot paraphrase
104,GPT2Detector,quil_p_11,0.0002346634864807,quil,Quillbot paraphrase
105,GPT2Detector,quil_p_13,0.0002383589744567,quil,Quillbot paraphrase
