,detector,text_id,score,Prompt Experiment
0,Radar,prt_avreg_p_12,0.727152407169342,Regen avoid detection
1,Radar,prt_avreg_p_0,0.9124457240104676,Regen avoid detection
2,Radar,prt_avreg_p_1,0.903384566307068,Regen avoid detection
3,Radar,prt_avreg_p_11,0.841520369052887,Regen avoid detection
4,Radar,prt_avreg_p_13,0.9517906308174132,Regen avoid detection
5,Radar,prt_avreg_p_10,0.9674389958381652,Regen avoid detection
6,Radar,prt_avreg_p_14,0.952106237411499,Regen avoid detection
7,Radar,prt_avreg_p_16,0.9552868604660034,Regen avoid detection
8,Radar,prt_avreg_p_15,0.7003651261329651,Regen avoid detection
9,Radar,prt_avreg_p_17,0.8083720803260803,Regen avoid detection
10,Radar,prt_avreg_p_4,0.6578720211982727,Regen avoid detection
11,Radar,prt_avreg_p_19,0.7181539535522461,Regen avoid detection
12,Radar,prt_avreg_p_2,0.9732503890991212,Regen avoid detection
13,Radar,prt_avreg_p_8,0.9652658700942992,Regen avoid detection
14,Radar,prt_avreg_p_5,0.8945176601409912,Regen avoid detection
15,Radar,prt_avreg_p_18,0.960176944732666,Regen avoid detection
16,Radar,prt_avreg_p_3,0.9772172570228576,Regen avoid detection
17,Radar,prt_avreg_p_6,0.8753305077552795,Regen avoid detection
18,Radar,prt_avreg_p_7,0.7964393496513367,Regen avoid detection
19,Radar,prt_avreg_p_9,0.9519594311714172,Regen avoid detection
20,Radar,prt_av_p_0,0.974409282207489,Avoid detection prompt
21,Radar,prt_av_p_1,0.9637688398361206,Avoid detection prompt
22,Radar,prt_av_p_16,0.9751176834106444,Avoid detection prompt
23,Radar,prt_av_p_10,0.9866934418678284,Avoid detection prompt
24,Radar,prt_av_p_14,0.9328563213348388,Avoid detection prompt
25,Radar,prt_av_p_11,0.9543553590774536,Avoid detection prompt
26,Radar,prt_av_p_15,0.9778586030006408,Avoid detection prompt
27,Radar,prt_av_p_13,0.9908994436264038,Avoid detection prompt
28,Radar,prt_av_p_12,0.8389087915420532,Avoid detection prompt
29,Radar,prt_av_p_17,0.9817741513252258,Avoid detection prompt
30,Radar,prt_av_p_18,0.9701232314109802,Avoid detection prompt
31,Radar,prt_av_p_3,0.989096999168396,Avoid detection prompt
32,Radar,prt_av_p_7,0.9912053346633912,Avoid detection prompt
33,Radar,prt_av_p_4,0.9634120464324952,Avoid detection prompt
34,Radar,prt_av_p_19,0.91908597946167,Avoid detection prompt
35,Radar,prt_av_p_6,0.9698829054832458,Avoid detection prompt
36,Radar,prt_av_p_2,0.9893136620521544,Avoid detection prompt
37,Radar,prt_av_p_5,0.976360559463501,Avoid detection prompt
38,Radar,prt_av_p_8,0.9878444075584412,Avoid detection prompt
39,Radar,prt_av_p_9,0.9668790698051452,Avoid detection prompt
40,Radar,prt_explreg_p_14,0.7279506921768188,Regen internet prompt
41,Radar,prt_explreg_p_11,0.9514234662055968,Regen internet prompt
42,Radar,prt_explreg_p_0,0.9443411231040956,Regen internet prompt
43,Radar,prt_explreg_p_1,0.9704639315605164,Regen internet prompt
44,Radar,prt_explreg_p_12,0.7580335736274719,Regen internet prompt
45,Radar,prt_explreg_p_13,0.96855628490448,Regen internet prompt
46,Radar,prt_explreg_p_10,0.8794606924057007,Regen internet prompt
47,Radar,prt_explreg_p_15,0.81215900182724,Regen internet prompt
48,Radar,prt_explreg_p_16,0.9184169173240662,Regen internet prompt
49,Radar,prt_explreg_p_17,0.8400037884712219,Regen internet prompt
50,Radar,prt_explreg_p_18,0.8153995871543884,Regen internet prompt
51,Radar,prt_explreg_p_2,0.9480406045913696,Regen internet prompt
52,Radar,prt_explreg_p_5,0.9352879524230956,Regen internet prompt
53,Radar,prt_explreg_p_19,0.7676889896392822,Regen internet prompt
54,Radar,prt_explreg_p_3,0.8709649443626404,Regen internet prompt
55,Radar,prt_explreg_p_6,0.7310557961463928,Regen internet prompt
56,Radar,prt_explreg_p_4,0.6675273776054382,Regen internet prompt
57,Radar,prt_explreg_p_9,0.962965726852417,Regen internet prompt
58,Radar,prt_explreg_p_7,0.8848446607589722,Regen internet prompt
59,Radar,prt_explreg_p_8,0.921365201473236,Regen internet prompt
60,Radar,prt_expl_p_0,0.9546027779579164,Internet prompt
61,Radar,prt_expl_p_1,0.9775533080101012,Internet prompt
62,Radar,prt_expl_p_10,0.9881189465522766,Internet prompt
63,Radar,prt_expl_p_15,0.9788546562194824,Internet prompt
64,Radar,prt_expl_p_11,0.9936509132385254,Internet prompt
65,Radar,prt_expl_p_12,0.961704969406128,Internet prompt
66,Radar,prt_expl_p_13,0.9736414551734924,Internet prompt
67,Radar,prt_expl_p_14,0.9651346802711488,Internet prompt
68,Radar,prt_expl_p_16,0.988092601299286,Internet prompt
69,Radar,prt_expl_p_18,0.949213683605194,Internet prompt
70,Radar,prt_expl_p_17,0.9845353960990906,Internet prompt
71,Radar,prt_expl_p_19,0.8242824077606201,Internet prompt
72,Radar,prt_expl_p_2,0.981701910495758,Internet prompt
73,Radar,prt_expl_p_3,0.9741597771644592,Internet prompt
74,Radar,prt_expl_p_4,0.9602642059326172,Internet prompt
75,Radar,prt_expl_p_5,0.9883758425712584,Internet prompt
76,Radar,prt_expl_p_6,0.9527247548103333,Internet prompt
77,Radar,prt_expl_p_7,0.971909999847412,Internet prompt
78,Radar,prt_expl_p_8,0.9875262975692748,Internet prompt
79,Radar,prt_expl_p_9,0.991047501564026,Internet prompt
80,Radar,prt_perplreg_p_0,0.9212979674339294,Regen perplexity prompt
81,Radar,prt_perplreg_p_1,0.2459835261106491,Regen perplexity prompt
82,Radar,prt_perplreg_p_10,0.907457947731018,Regen perplexity prompt
83,Radar,prt_perplreg_p_11,0.7642816305160522,Regen perplexity prompt
84,Radar,prt_perplreg_p_12,0.1973618119955063,Regen perplexity prompt
85,Radar,prt_perplreg_p_14,0.6654406189918518,Regen perplexity prompt
86,Radar,prt_perplreg_p_15,0.6523177623748779,Regen perplexity prompt
87,Radar,prt_perplreg_p_13,0.6191728115081787,Regen perplexity prompt
88,Radar,prt_perplreg_p_17,0.9010221362113952,Regen perplexity prompt
89,Radar,prt_perplreg_p_16,0.9687176942825316,Regen perplexity prompt
90,Radar,prt_perplreg_p_18,0.8822192549705505,Regen perplexity prompt
91,Radar,prt_perplreg_p_19,0.319463700056076,Regen perplexity prompt
92,Radar,prt_perplreg_p_2,0.9197804927825928,Regen perplexity prompt
93,Radar,prt_perplreg_p_3,0.7899909615516663,Regen perplexity prompt
94,Radar,prt_perplreg_p_7,0.9342471361160278,Regen perplexity prompt
95,Radar,prt_perplreg_p_4,0.821192741394043,Regen perplexity prompt
96,Radar,prt_perplreg_p_6,0.5127301216125488,Regen perplexity prompt
97,Radar,prt_perplreg_p_5,0.9208630323410034,Regen perplexity prompt
98,Radar,prt_perplreg_p_8,0.8839243650436401,Regen perplexity prompt
99,Radar,prt_perpl_p_0,0.9764756560325624,Perplexity prompt
100,Radar,prt_perplreg_p_9,0.7864495515823364,Regen perplexity prompt
101,Radar,prt_perpl_p_1,0.988023579120636,Perplexity prompt
102,Radar,prt_perpl_p_10,0.9880467653274536,Perplexity prompt
103,Radar,prt_perpl_p_11,0.979198157787323,Perplexity prompt
104,Radar,prt_perpl_p_16,0.98455548286438,Perplexity prompt
105,Radar,prt_perpl_p_14,0.9101423025131226,Perplexity prompt
106,Radar,prt_perpl_p_13,0.9766594767570496,Perplexity prompt
107,Radar,prt_perpl_p_12,0.9705005884170532,Perplexity prompt
108,Radar,prt_perpl_p_15,0.949773371219635,Perplexity prompt
109,Radar,prt_perpl_p_19,0.9764100313186646,Perplexity prompt
110,Radar,prt_perpl_p_17,0.9854981303215028,Perplexity prompt
111,Radar,prt_perpl_p_18,0.9765849709510804,Perplexity prompt
112,Radar,prt_perpl_p_2,0.9794937372207642,Perplexity prompt
113,Radar,prt_perpl_p_3,0.962252140045166,Perplexity prompt
114,Radar,prt_perpl_p_4,0.940073549747467,Perplexity prompt
115,Radar,prt_perpl_p_5,0.96376770734787,Perplexity prompt
116,Radar,prt_perpl_p_7,0.9691922664642334,Perplexity prompt
117,Radar,prt_perpl_p_6,0.9253324270248412,Perplexity prompt
118,Radar,prt_perpl_p_8,0.9931690096855164,Perplexity prompt
119,Radar,prt_smareg_p_0,0.8491026759147644,Regen smart prompt
120,Radar,prt_perpl_p_9,0.9755094647407532,Perplexity prompt
121,Radar,prt_smareg_p_1,0.9629833102226256,Regen smart prompt
122,Radar,prt_smareg_p_10,0.9898157715797424,Regen smart prompt
123,Radar,prt_smareg_p_11,0.9380275011062622,Regen smart prompt
124,Radar,prt_smareg_p_12,0.9035567045211792,Regen smart prompt
125,Radar,prt_smareg_p_13,0.9778832197189332,Regen smart prompt
126,Radar,prt_smareg_p_14,0.9766531586647034,Regen smart prompt
127,Radar,prt_smareg_p_15,0.9716988205909728,Regen smart prompt
128,Radar,prt_smareg_p_16,0.9885196089744568,Regen smart prompt
129,Radar,prt_smareg_p_17,0.9831498265266418,Regen smart prompt
130,Radar,prt_smareg_p_18,0.8038272857666016,Regen smart prompt
131,Radar,prt_smareg_p_2,0.965125322341919,Regen smart prompt
132,Radar,prt_smareg_p_19,0.7921545505523682,Regen smart prompt
133,Radar,prt_smareg_p_3,0.9819309115409852,Regen smart prompt
134,Radar,prt_smareg_p_4,0.7275133728981018,Regen smart prompt
135,Radar,prt_smareg_p_5,0.9890073537826538,Regen smart prompt
136,Radar,prt_smareg_p_6,0.8648892045021057,Regen smart prompt
137,Radar,prt_smareg_p_7,0.8821203708648682,Regen smart prompt
138,Radar,prt_smareg_p_8,0.9595929384231568,Regen smart prompt
139,Radar,prt_smareg_p_9,0.96505868434906,Regen smart prompt
140,Radar,prt_sma_p_0,0.9613415598869324,Smart prompt
141,Radar,prt_sma_p_1,0.9865232706069946,Smart prompt
142,Radar,prt_sma_p_10,0.994678556919098,Smart prompt
143,Radar,prt_sma_p_11,0.9749431014060974,Smart prompt
144,Radar,prt_sma_p_12,0.9819083213806152,Smart prompt
145,Radar,prt_sma_p_13,0.992136001586914,Smart prompt
146,Radar,prt_sma_p_14,0.952218770980835,Smart prompt
147,Radar,prt_sma_p_15,0.9522902965545654,Smart prompt
148,Radar,prt_sma_p_16,0.994390308856964,Smart prompt
149,Radar,prt_sma_p_17,0.9759610891342164,Smart prompt
150,Radar,prt_sma_p_3,0.992724061012268,Smart prompt
151,Radar,prt_sma_p_18,0.9857922196388244,Smart prompt
152,Radar,prt_sma_p_19,0.9839067459106444,Smart prompt
153,Radar,prt_sma_p_2,0.9895669221878052,Smart prompt
154,Radar,prt_sma_p_4,0.9814286231994628,Smart prompt
155,Radar,prt_sma_p_5,0.9884370565414428,Smart prompt
156,Radar,prt_sma_p_6,0.9068451523780824,Smart prompt
157,Radar,prt_sma_p_7,0.9768691658973694,Smart prompt
158,Radar,prt_sma_p_8,0.9917866587638856,Smart prompt
159,Radar,prt_stdreg_p_10,0.9134495854377748,Baseline regen
160,Radar,prt_sma_p_9,0.9704601168632508,Smart prompt
161,Radar,prt_stdreg_p_1,0.7931029200553894,Baseline regen
162,Radar,prt_stdreg_p_0,0.9542716145515442,Baseline regen
163,Radar,prt_stdreg_p_11,0.9247259497642516,Baseline regen
164,Radar,prt_stdreg_p_12,0.581045925617218,Baseline regen
165,Radar,prt_stdreg_p_14,0.8398783802986145,Baseline regen
166,Radar,prt_stdreg_p_13,0.923247456550598,Baseline regen
167,Radar,prt_stdreg_p_16,0.9680752754211426,Baseline regen
168,Radar,prt_stdreg_p_15,0.4803885519504547,Baseline regen
169,Radar,prt_stdreg_p_17,0.925268054008484,Baseline regen
170,Radar,prt_stdreg_p_2,0.9478174448013306,Baseline regen
171,Radar,prt_stdreg_p_18,0.929087221622467,Baseline regen
172,Radar,prt_stdreg_p_19,0.782756507396698,Baseline regen
173,Radar,prt_stdreg_p_3,0.9044927954673768,Baseline regen
174,Radar,prt_stdreg_p_4,0.8245139718055725,Baseline regen
175,Radar,prt_stdreg_p_5,0.9297640919685364,Baseline regen
176,Radar,prt_stdreg_p_6,0.7988138198852539,Baseline regen
177,Radar,prt_stdreg_p_7,0.950184404850006,Baseline regen
178,Radar,prt_stdreg_p_8,0.978698432445526,Baseline regen
179,Radar,prt_stdreg_p_9,0.9505374431610109,Baseline regen
180,Radar,prt_std_p_1,0.9753499627113342,Baseline prompt
181,Radar,prt_std_p_0,0.9730578064918518,Baseline prompt
182,Radar,prt_std_p_10,0.97932231426239,Baseline prompt
183,Radar,prt_std_p_11,0.943514049053192,Baseline prompt
184,Radar,prt_std_p_12,0.9046391844749452,Baseline prompt
185,Radar,prt_std_p_14,0.8943174481391907,Baseline prompt
186,Radar,prt_std_p_13,0.9857891798019408,Baseline prompt
187,Radar,prt_std_p_15,0.8473292589187622,Baseline prompt
188,Radar,prt_std_p_17,0.8605320453643799,Baseline prompt
189,Radar,prt_std_p_16,0.9829425811767578,Baseline prompt
190,Radar,prt_std_p_18,0.9382205009460448,Baseline prompt
191,Radar,prt_std_p_19,0.9195153713226318,Baseline prompt
192,Radar,prt_std_p_2,0.9874451160430908,Baseline prompt
193,Radar,prt_std_p_3,0.988042950630188,Baseline prompt
194,Radar,prt_std_p_4,0.8820173740386963,Baseline prompt
195,Radar,prt_std_p_6,0.9620859026908876,Baseline prompt
196,Radar,prt_std_p_5,0.9272764325141908,Baseline prompt
197,Radar,prt_std_p_7,0.9625643491744996,Baseline prompt
198,Radar,prt_std_p_8,0.98504376411438,Baseline prompt
199,Radar,prt_std_p_9,0.9749710559844972,Baseline prompt
200,GPT2Detector,prt_avreg_p_15,0.817589282989502,Regen avoid detection
201,GPT2Detector,prt_avreg_p_16,0.0001760125160217,Regen avoid detection
202,GPT2Detector,prt_avreg_p_10,0.9868691563606262,Regen avoid detection
203,GPT2Detector,prt_avreg_p_0,0.9993072748184204,Regen avoid detection
204,GPT2Detector,prt_avreg_p_1,0.9418204426765442,Regen avoid detection
205,GPT2Detector,prt_avreg_p_13,0.0001997351646423,Regen avoid detection
206,GPT2Detector,prt_avreg_p_12,0.0011307597160339,Regen avoid detection
207,GPT2Detector,prt_avreg_p_14,0.9997914433479308,Regen avoid detection
208,GPT2Detector,prt_avreg_p_11,0.0002073645591735,Regen avoid detection
209,GPT2Detector,prt_avreg_p_17,0.0001787543296813,Regen avoid detection
