,detector,text_id,score,mutation,mutation_name
0,GPTZero,arm_p_17,0.9080513058259928,arm,Armenian
1,GPTZero,arm_p_0,0.9977558223168834,arm,Armenian
2,GPTZero,arm_p_10,0.9973955738343496,arm,Armenian
3,GPTZero,arm_p_11,0.9977558223168834,arm,Armenian
4,GPTZero,arm_p_12,0.8235569534490451,arm,Armenian
5,GPTZero,arm_p_1,0.9109374343376851,arm,Armenian
6,GPTZero,arm_p_16,0.915630600561598,arm,Armenian
7,GPTZero,arm_p_15,0.9977775103937532,arm,Armenian
8,GPTZero,arm_p_13,0.982932157729323,arm,Armenian
9,GPTZero,arm_p_14,0.9825825322814176,arm,Armenian
10,GPTZero,arm_p_19,0.982932157729323,arm,Armenian
11,GPTZero,arm_p_2,1.0,arm,Armenian
12,GPTZero,arm_p_18,0.982932157729323,arm,Armenian
13,GPTZero,arm_p_3,0.9977558223168834,arm,Armenian
14,GPTZero,arm_p_9,0.9977558223168834,arm,Armenian
15,GPTZero,arm_p_5,0.9977558223168834,arm,Armenian
16,GPTZero,arm_p_8,0.982932157729323,arm,Armenian
17,GPTZero,arm_p_6,0.9977558223168834,arm,Armenian
18,GPTZero,arm_p_7,0.9977558223168834,arm,Armenian
19,GPTZero,arm_p_4,0.9973955738343496,arm,Armenian
20,GPTZero,comb_p_1,0.8288928167075286,comb,Combined
21,GPTZero,comb_p_0,0.7612778148600914,comb,Combined
22,GPTZero,comb_p_10,0.982932157729323,comb,Combined
23,GPTZero,comb_p_11,0.9973955738343496,comb,Combined
24,GPTZero,comb_p_14,0.7002754949298449,comb,Combined
25,GPTZero,comb_p_12,0.6683513483602022,comb,Combined
26,GPTZero,comb_p_17,0.8223915592028135,comb,Combined
27,GPTZero,comb_p_15,0.5911894273127754,comb,Combined
28,GPTZero,comb_p_13,0.7383423092079339,comb,Combined
29,GPTZero,comb_p_16,0.9106245014028448,comb,Combined
30,GPTZero,comb_p_18,0.9104753354570072,comb,Combined
31,GPTZero,comb_p_19,0.7589185649704708,comb,Combined
32,GPTZero,comb_p_2,0.7589185649704708,comb,Combined
33,GPTZero,comb_p_3,0.777828259881872,comb,Combined
34,GPTZero,comb_p_4,0.7785955838472249,comb,Combined
35,GPTZero,comb_p_5,0.8223915592028135,comb,Combined
36,GPTZero,comb_p_8,0.6375545851528385,comb,Combined
37,GPTZero,comb_p_6,0.8223915592028135,comb,Combined
38,GPTZero,cyrsm_p_1,0.9109374343376851,cyrsm,Cyrillic-Simple
39,GPTZero,cyrsm_p_11,0.9977558223168834,cyrsm,Cyrillic-Simple
40,GPTZero,comb_p_9,0.8223915592028135,comb,Combined
41,GPTZero,comb_p_7,0.7727242480039814,comb,Combined
42,GPTZero,cyrsm_p_0,0.9977558223168834,cyrsm,Cyrillic-Simple
43,GPTZero,cyrsm_p_12,0.8235569534490451,cyrsm,Cyrillic-Simple
44,GPTZero,cyrsm_p_10,0.9973955738343496,cyrsm,Cyrillic-Simple
45,GPTZero,cyrsm_p_13,0.982932157729323,cyrsm,Cyrillic-Simple
46,GPTZero,cyrsm_p_15,0.9977775103937532,cyrsm,Cyrillic-Simple
47,GPTZero,cyrsm_p_14,0.9825825322814176,cyrsm,Cyrillic-Simple
48,GPTZero,cyrsm_p_16,0.915630600561598,cyrsm,Cyrillic-Simple
49,GPTZero,cyrsm_p_19,0.982932157729323,cyrsm,Cyrillic-Simple
50,GPTZero,cyrsm_p_17,0.9080513058259928,cyrsm,Cyrillic-Simple
51,GPTZero,cyrsm_p_2,1.0,cyrsm,Cyrillic-Simple
52,GPTZero,cyrsm_p_18,0.982932157729323,cyrsm,Cyrillic-Simple
53,GPTZero,cyrsm_p_4,0.9973955738343496,cyrsm,Cyrillic-Simple
54,GPTZero,cyrsm_p_3,0.9977558223168834,cyrsm,Cyrillic-Simple
55,GPTZero,cyrsm_p_5,0.9977558223168834,cyrsm,Cyrillic-Simple
56,GPTZero,cyrsm_p_6,0.9977558223168834,cyrsm,Cyrillic-Simple
57,GPTZero,cyrsm_p_8,0.982932157729323,cyrsm,Cyrillic-Simple
58,GPTZero,cyrsm_p_7,0.9977558223168834,cyrsm,Cyrillic-Simple
59,GPTZero,cyrsm_p_9,0.9977558223168834,cyrsm,Cyrillic-Simple
60,GPTZero,cyr_p_0,0.7612778148600914,cyr,Cyrillic-Full
61,GPTZero,cyr_p_12,0.6683513483602022,cyr,Cyrillic-Full
62,GPTZero,cyr_p_13,0.7383423092079339,cyr,Cyrillic-Full
63,GPTZero,cyr_p_1,0.8288928167075286,cyr,Cyrillic-Full
64,GPTZero,cyr_p_11,0.9973955738343496,cyr,Cyrillic-Full
65,GPTZero,cyr_p_10,0.982932157729323,cyr,Cyrillic-Full
66,GPTZero,cyr_p_15,0.5911894273127754,cyr,Cyrillic-Full
67,GPTZero,cyr_p_17,0.8223915592028135,cyr,Cyrillic-Full
68,GPTZero,cyr_p_14,0.7002754949298449,cyr,Cyrillic-Full
69,GPTZero,cyr_p_16,0.9106245014028448,cyr,Cyrillic-Full
70,GPTZero,cyr_p_18,0.9104753354570072,cyr,Cyrillic-Full
71,GPTZero,cyr_p_19,0.7589185649704708,cyr,Cyrillic-Full
72,GPTZero,cyr_p_2,0.7589185649704708,cyr,Cyrillic-Full
73,GPTZero,cyr_p_3,0.777828259881872,cyr,Cyrillic-Full
74,GPTZero,cyr_p_5,0.8223915592028135,cyr,Cyrillic-Full
75,GPTZero,cyr_p_4,0.7785955838472249,cyr,Cyrillic-Full
76,GPTZero,cyr_p_7,0.7727242480039814,cyr,Cyrillic-Full
77,GPTZero,cyr_p_6,0.8223915592028135,cyr,Cyrillic-Full
78,GPTZero,cyr_p_8,0.6375545851528385,cyr,Cyrillic-Full
79,GPTZero,def_p_0,0.9977558223168834,def,Baseline
80,GPTZero,def_p_11,0.9977558223168834,def,Baseline
81,GPTZero,def_p_12,0.8235569534490451,def,Baseline
