,detector,text_id,score,fp,pp
0,GPT2Detector,grs_fp_0.0_0.1_res_4,0.9998084902763368,0.0,0.1
1,GPT2Detector,grs_fp_0.0_0.1_res_0,0.999793827533722,0.0,0.1
2,GPT2Detector,grs_fp_0.0_0.1_res_1,0.9998255372047424,0.0,0.1
3,GPT2Detector,grs_fp_0.0_0.1_res_2,0.9998056292533876,0.0,0.1
4,GPT2Detector,grs_fp_0.0_0.0_res_2,0.9808016419410706,0.0,0.0
5,GPT2Detector,grs_fp_0.0_0.0_res_1,0.9998024106025696,0.0,0.0
6,GPT2Detector,grs_fp_0.0_0.0_res_3,0.999817192554474,0.0,0.0
7,GPT2Detector,grs_fp_0.0_0.1_res_3,0.9998103976249696,0.0,0.1
8,GPT2Detector,grs_fp_0.0_0.0_res_4,0.9998133778572084,0.0,0.0
9,GPT2Detector,grs_fp_0.0_0.0_res_0,0.999823033809662,0.0,0.0
10,GPT2Detector,grs_fp_0.0_0.2_res_0,0.999804437160492,0.0,0.2
11,GPT2Detector,grs_fp_0.0_0.2_res_1,0.0258658528327941,0.0,0.2
12,GPT2Detector,grs_fp_0.0_0.2_res_2,0.9997790455818176,0.0,0.2
13,GPT2Detector,grs_fp_0.0_0.2_res_3,0.9992594122886658,0.0,0.2
14,GPT2Detector,grs_fp_0.0_0.2_res_4,0.9998156428337096,0.0,0.2
15,GPT2Detector,grs_fp_0.0_0.3_res_2,0.9978682994842528,0.0,0.3
16,GPT2Detector,grs_fp_0.0_0.3_res_1,0.0809759497642517,0.0,0.3
17,GPT2Detector,grs_fp_0.0_0.3_res_4,0.9998273253440856,0.0,0.3
18,GPT2Detector,grs_fp_0.0_0.3_res_0,0.999798595905304,0.0,0.3
19,GPT2Detector,grs_fp_0.0_0.3_res_3,0.0005685687065124,0.0,0.3
20,GPT2Detector,grs_fp_0.0_0.4_res_1,0.9997294545173644,0.0,0.4
21,GPT2Detector,grs_fp_0.0_0.4_res_0,0.9998099207878112,0.0,0.4
22,GPT2Detector,grs_fp_0.0_0.4_res_2,0.9998164772987366,0.0,0.4
23,GPT2Detector,grs_fp_0.0_0.4_res_3,0.9996702671051024,0.0,0.4
24,GPT2Detector,grs_fp_0.0_0.5_res_0,0.99981027841568,0.0,0.5
25,GPT2Detector,grs_fp_0.0_0.4_res_4,0.999805748462677,0.0,0.4
26,GPT2Detector,grs_fp_0.0_0.5_res_2,0.9953303337097168,0.0,0.5
27,GPT2Detector,grs_fp_0.0_0.5_res_1,0.533969521522522,0.0,0.5
28,GPT2Detector,grs_fp_0.0_0.5_res_4,0.9998020529747008,0.0,0.5
29,GPT2Detector,grs_fp_0.0_0.5_res_3,0.9998145699501038,0.0,0.5
30,GPT2Detector,grs_fp_0.0_0.6_res_0,0.9998260140419006,0.0,0.6
31,GPT2Detector,grs_fp_0.0_0.6_res_1,0.9998010993003844,0.0,0.6
32,GPT2Detector,grs_fp_0.0_0.6_res_2,0.9998264908790588,0.0,0.6
33,GPT2Detector,grs_fp_0.0_0.6_res_3,0.1030682325363159,0.0,0.6
34,GPT2Detector,grs_fp_0.0_0.6_res_4,0.9997791647911072,0.0,0.6
35,GPT2Detector,grs_fp_0.0_0.7_res_0,0.9998014569282532,0.0,0.7
36,GPT2Detector,grs_fp_0.0_0.7_res_2,0.9998180270195008,0.0,0.7
37,GPT2Detector,grs_fp_0.0_0.7_res_1,0.999303936958313,0.0,0.7
38,GPT2Detector,grs_fp_0.0_0.8_res_0,0.9998027682304382,0.0,0.8
39,GPT2Detector,grs_fp_0.0_0.8_res_1,0.9998201727867126,0.0,0.8
