detector,text_id,score,parameter name,parameter value,category
GPT2Detector,fp_0.0_res_0,0.9997972846031188,fp,0.0,res
GPT2Detector,fp_0.0_res_4,0.9996023774147034,fp,0.0,res
GPT2Detector,fp_0.0_res_1,0.999823033809662,fp,0.0,res
GPT2Detector,fp_0.0_res_2,0.007766842842102,fp,0.0,res
GPT2Detector,fp_0.0_arg_2,0.9997962117195128,fp,0.0,arg
GPT2Detector,fp_0.0_arg_0,0.9998010993003844,fp,0.0,arg
GPT2Detector,fp_0.0_res_3,0.9995429515838624,fp,0.0,res
GPT2Detector,fp_0.0_arg_3,0.9987449645996094,fp,0.0,arg
GPT2Detector,fp_0.0_arg_4,0.999786913394928,fp,0.0,arg
GPT2Detector,fp_0.0_arg_1,0.9989575147628784,fp,0.0,arg
GPT2Detector,fp_0.1_arg_0,0.9992483258247375,fp,0.1,arg
GPT2Detector,fp_0.1_arg_1,0.6258034110069275,fp,0.1,arg
GPT2Detector,fp_0.1_arg_2,0.9998145699501038,fp,0.1,arg
GPT2Detector,fp_0.1_res_0,0.9997971653938292,fp,0.1,res
GPT2Detector,fp_0.1_arg_3,0.8997162580490112,fp,0.1,arg
GPT2Detector,fp_0.1_res_1,0.9998111128807068,fp,0.1,res
GPT2Detector,fp_0.1_arg_4,0.999816358089447,fp,0.1,arg
GPT2Detector,fp_0.1_res_3,0.9969403743743896,fp,0.1,res
GPT2Detector,fp_0.1_res_2,0.9998185038566588,fp,0.1,res
GPT2Detector,fp_0.1_res_4,0.9958815574645996,fp,0.1,res
GPT2Detector,fp_0.2_arg_0,0.9994441866874696,fp,0.2,arg
GPT2Detector,fp_0.2_arg_1,0.9994264841079712,fp,0.2,arg
GPT2Detector,fp_0.2_arg_2,0.9964160919189452,fp,0.2,arg
GPT2Detector,fp_0.2_arg_4,0.9998013377189636,fp,0.2,arg
GPT2Detector,fp_0.2_arg_3,0.999816596508026,fp,0.2,arg
GPT2Detector,fp_0.2_res_0,0.9998143315315248,fp,0.2,res
GPT2Detector,fp_0.2_res_1,0.9859078526496888,fp,0.2,res
GPT2Detector,fp_0.2_res_2,0.999765694141388,fp,0.2,res
GPT2Detector,fp_0.2_res_3,0.5101699233055115,fp,0.2,res
GPT2Detector,fp_0.2_res_4,0.9952087998390198,fp,0.2,res
GPT2Detector,fp_0.3_arg_0,0.999816358089447,fp,0.3,arg
