parameter name,detector,parameter value,score
fp,CopyLeaks,-1.0,1.0
fp,CopyLeaks,-0.8,1.0
fp,CopyLeaks,-0.6,1.0
fp,CopyLeaks,-0.4,1.0
fp,CopyLeaks,-0.2,1.0
fp,CopyLeaks,-0.0,1.0
fp,CopyLeaks,0.2,1.0
fp,CopyLeaks,0.4,1.0
fp,CopyLeaks,0.6,1.0
fp,CopyLeaks,0.8,1.0
fp,CopyLeaks,1.0,0.943764174
fp,CopyLeaks,1.2,0.94703196
fp,CopyLeaks,1.4,0.9824362600000001
fp,CopyLeaks,1.6,0.884428488
fp,CopyLeaks,1.8,0.8529707179999999
fp,CopyLeaks,2.0,0.8095467639999999
fp,GPT2Detector,-1.0,0.9998066306114197
fp,GPT2Detector,-0.8,0.9998032689094544
fp,GPT2Detector,-0.6,0.9966574907302856
fp,GPT2Detector,-0.4,0.9957858800888062
fp,GPT2Detector,-0.2,0.9997462391853332
fp,GPT2Detector,-0.0,0.9886581897735596
fp,GPT2Detector,0.2,0.989379096031189
fp,GPT2Detector,0.4,0.798583447933197
fp,GPT2Detector,0.6,0.6476638793945313
fp,GPT2Detector,0.8,0.5572991132736206
fp,GPT2Detector,1.0,0.00027097463607784003
fp,GPT2Detector,1.2,0.00028492212295528
fp,GPT2Detector,1.4,0.0003556609153747
fp,GPT2Detector,1.6,0.00036215782165522
fp,GPT2Detector,1.8,0.00050830841064448
fp,GPT2Detector,2.0,0.00023468732833855998
fp,GPTZero,-1.0,0.7440154560967432
fp,GPTZero,-0.8,0.72999470240012
fp,GPTZero,-0.6,0.8307313951909407
fp,GPTZero,-0.4,0.8135674945951828
fp,GPTZero,-0.2,0.9945770649167768
fp,GPTZero,-0.0,0.9495121821417489
fp,GPTZero,0.2,0.9951678752394878
fp,GPTZero,0.4,0.9783771947458593
fp,GPTZero,0.6,0.9891684843148827
fp,GPTZero,0.8,0.8048455846677584
fp,GPTZero,1.0,0.5809295056655326
fp,GPTZero,1.2,0.40541248791284856
fp,GPTZero,1.4,0.2713821192491346
fp,GPTZero,1.6,0.303561659005504
fp,GPTZero,1.8,0.3538619442329728
fp,GPTZero,2.0,0.3410356818292338
fp,Radar,-1.0,0.9824491024017334
fp,Radar,-0.8,0.9940029978752136
fp,Radar,-0.6,0.9948943018913269
fp,Radar,-0.4,0.974738597869873
